code,countryName,iso3
170,"Pakistan",PAK
171,"Palau",PLW
172,"Palestinian Territory, Occupied",PSE
173,"Panama",PAN
174,"Papua New Guinea",PNG
175,"Paraguay",PRY
176,"Peru",PER
177,"Philippines",PHL
178,"Pitcairn Island",PCN
179,"Poland",POL
180,"Portugal",PRT
181,"Puerto Rico",PRI
182,"Qatar",QAT
183,"Reunion Island",REU
184,"Romania",ROU
185,"Russian Federation",RUS
186,"Rwanda",RWA
187,"Saint Helena",SHN
188,"Saint Kitts and Nevis",KNA
189,"Saint Lucia",LCA
190,"Saint Pierre and Miquelon",SPM
191,"Saint Vincent and the Grenadines",VCT
192,"Samoa",WSM
193,"San Marino",SMR
194,"Sao Tome and Principe",STP
195,"Saudi Arabia",SAU
196,"Senegal",SEN
197,"Serbia",SRB
198,"Seychelles",SYC
199,"Sierra Leone",SLE
200,"Singapore",SGP
201,"Slovak Republic",SVK
202,"Slovenia",SVN
203,"Solomon Islands",SLB
204,"Somalia",SOM
205,"South Africa",ZAF
206,"South Georgia and the South Sandwich Islands",SGS
207,"Soviet Union",NA
208,"Spain",ESP
209,"Sri Lanka",LKA
210,"Sudan",SDN
211,"Suriname",SUR
212,"Svalbard and Jan Mayen Islands",SJM
213,"Swaziland",SWZ
214,"Sweden",SWE
215,"Switzerlandci",CHE
216,"Syrian Arab Republic",SYR
217,"Taiwan",TWN
218,"Tajikistan",TJK
219,"Tanzania",TZA
220,"Thailand",THA
221,"Timor-Leste",TLS
222,"Togo",TGO
223,"Tokelau",TKL
224,"Tonga",TON
225,"Trinidad and Tobago",TTO
226,"Tunisia",TUN
227,"Turkey",TUR
228,"Turkmenistan",TKM
229,"Turks and Caicos Islands",TCA
230,"Tuvalu",TUV
231,"Uganda",UGA
232,"Ukraine",UKR
233,"United Arab Emirates",ARE
234,"United Kingdom",GBR
235,"United States",USA
236,"United States Minor Outlying Islands",UMI
237,"Uruguay",URY
238,"Uzbekistan",UZB
239,"Vanuatu",VUT
240,"Venezuela",VEN
241,"Vietnam",VNM
242,"Virgin Islands, British",VGB
243,"Virgin Islands, U.S.",VIR
244,"Wallis and Futuna Islands",WLF
245,"Western Sahara",ESH
246,"Yemen",YEM
247,"Yugoslavia",YUG
248,"Zambia",ZMB
249,"Zimbabwe",ZWE
